Dyad,Player,Raza,Stage,Round,Contador,Perro,Rotulo,suposicion,Recibido,Kind,Correctitud
45981-38174,38174543864515,terrier,2,2,1,Perro1,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,2,2,Perro5,B,Nada,Si,B,1.0
45981-38174,459819203408978,hound,2,2,1,Perro4,C,Nada,Si,A,0.0
45981-38174,459819203408978,hound,2,3,1,Perro1,A,Nada,Si,A,1.0
45981-38174,459819203408978,hound,2,3,2,Perro2,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,4,1,Perro3,D,Nada,No,B,1.0
45981-38174,459819203408978,hound,2,5,1,Perro2,A,Nada,No,C,1.0
45981-38174,459819203408978,hound,2,5,2,Perro4,A,A,No,C,1.0
45981-38174,38174543864515,terrier,2,5,1,Perro3,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,5,2,Perro5,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,6,1,Perro4,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,6,1,Perro3,A,Nada,Si,A,1.0
45981-38174,38174543864515,terrier,2,7,1,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,7,2,Perro5,A,Nada,No,D,1.0
45981-38174,459819203408978,hound,2,8,1,Perro5,C,Nada,Si,A,0.0
45981-38174,459819203408978,hound,2,8,2,Perro3,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,8,1,Perro1,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,8,2,Perro4,D,D,No,B,1.0
45981-38174,38174543864515,terrier,2,8,3,Perro2,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,9,1,Perro2,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,9,2,Perro1,B,Nada,Si,B,1.0
45981-38174,459819203408978,hound,2,9,1,Perro5,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,10,1,Perro1,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,2,Perro2,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,3,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,10,4,Perro4,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,5,Perro5,B,Nada,Si,D,0.0
45981-38174,38174543864515,terrier,2,11,1,Perro4,B,D,No,D,1.0
45981-38174,38174543864515,terrier,2,11,2,Perro3,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,11,1,Perro5,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,11,2,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,12,1,Perro3,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,12,2,Perro4,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,12,3,Perro5,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,12,1,Perro2,C,Nada,No,A,1.0
45981-38174,459819203408978,hound,2,12,2,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,13,1,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,13,2,Perro4,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,13,1,Perro1,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,13,2,Perro5,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,14,1,Perro3,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,14,1,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,14,2,Perro5,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,14,3,Perro4,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,14,2,Perro2,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,15,1,Perro4,A,Nada,No,C,1.0
45981-38174,38174543864515,terrier,2,15,1,Perro3,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,15,2,Perro5,B,B,Si,B,1.0
45981-38174,459819203408978,hound,2,15,2,Perro2,A,A,No,C,1.0
45981-38174,459819203408978,hound,2,15,3,Perro1,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,16,1,Perro4,A,Nada,Si,A,1.0
45981-38174,459819203408978,hound,2,16,2,Perro5,C,Nada,No,A,1.0
45981-38174,38174543864515,terrier,2,16,1,Perro3,B,B,Si,B,1.0
45981-38174,459819203408978,hound,2,16,3,Perro1,A,Nada,No se,A,0.0
45981-38174,459819203408978,hound,2,16,4,Perro2,A,Nada,No,C,1.0
45981-38174,459819203408978,hound,2,17,1,Perro4,A,Nada,Si,A,1.0
45981-38174,38174543864515,terrier,2,17,1,Perro5,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,17,2,Perro3,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,17,3,Perro2,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,17,2,Perro1,A,Nada,No,C,1.0
45981-38174,459819203408978,hound,2,18,1,Perro2,A,Nada,Si,A,1.0
45981-38174,459819203408978,hound,2,18,2,Perro3,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,18,1,Perro4,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,18,2,Perro1,B,B,Si,B,1.0
45981-38174,459819203408978,hound,2,20,1,Perro2,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,20,1,Perro4,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,20,2,Perro1,B,B,Si,B,1.0
45981-38174,459819203408978,hound,2,20,2,Perro3,C,C,Si,C,1.0
45981-38174,459819203408978,hound,2,21,1,Perro4,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,21,1,Perro5,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,21,2,Perro2,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,22,1,Perro5,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,22,1,Perro1,B,B,Si,B,1.0
45981-38174,459819203408978,hound,2,23,1,Perro4,A,Nada,Si,A,1.0
45981-38174,459819203408978,hound,2,23,2,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,23,1,Perro3,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,24,1,Perro5,A,Nada,Si,C,0.0
45981-38174,38174543864515,terrier,2,24,1,Perro1,B,B,Si,B,1.0
13761-83580,835804561913525,hound,2,1,1,Perro1,C,C,No,A,1.0
13761-83580,835804561913525,hound,2,1,2,Perro1,A,C,Si,A,1.0
13761-83580,137619579400459,terrier,2,1,1,Perro2,D,Nada,Si,D,1.0
13761-83580,137619579400459,terrier,2,2,1,Perro2,B,Nada,Si,B,1.0
13761-83580,137619579400459,terrier,2,2,2,Perro3,D,Nada,No,B,1.0
13761-83580,835804561913525,hound,2,2,1,Perro5,C,C,Si,C,1.0
13761-83580,835804561913525,hound,2,4,1,Perro2,A,A,No,C,1.0
13761-83580,137619579400459,terrier,2,4,1,Perro1,D,Nada,No,B,1.0
13761-83580,137619579400459,terrier,2,5,1,Perro2,D,D,No,B,1.0
13761-83580,835804561913525,hound,2,5,1,Perro1,C,C,Si,C,1.0
13761-83580,137619579400459,terrier,2,6,1,Perro1,B,B,Si,B,1.0
13761-83580,835804561913525,hound,2,7,1,Perro1,A,Nada,No,A,0.0
13761-83580,137619579400459,terrier,2,7,1,Perro4,D,D,Si,D,1.0
13761-83580,835804561913525,hound,2,8,1,Perro1,C,C,Si,C,1.0
13761-83580,137619579400459,terrier,2,8,1,Perro3,B,Nada,Si,B,1.0
13761-83580,137619579400459,terrier,2,9,1,Perro4,B,B,Si,B,1.0
13761-83580,137619579400459,terrier,2,9,2,Perro2,D,D,Si,D,1.0
13761-83580,137619579400459,terrier,2,10,1,Perro2,B,D,No,D,1.0
13761-83580,835804561913525,hound,2,10,1,Perro1,D,D,No se,D,0.0
13761-83580,137619579400459,terrier,2,10,2,Perro1,D,D,-,D,0.0
13761-83580,137619579400459,terrier,2,11,1,Perro1,A,A,Si,A,1.0
13761-83580,137619579400459,terrier,2,13,1,Perro5,B,Nada,Si,B,1.0
13761-83580,835804561913525,hound,2,13,1,Perro4,C,C,No,A,1.0
13761-83580,137619579400459,terrier,2,14,1,Perro5,B,B,No,B,0.0
13761-83580,137619579400459,terrier,2,15,1,Perro5,D,D,Si,D,1.0
13761-83580,835804561913525,hound,2,16,1,Perro1,C,C,Si,C,1.0
13761-83580,137619579400459,terrier,2,17,1,Perro5,A,A,Si,A,1.0
13761-83580,835804561913525,hound,2,17,1,Perro2,A,C,Si,C,0.0
13761-83580,137619579400459,terrier,2,19,1,Perro3,B,B,Si,B,1.0
13761-83580,137619579400459,terrier,2,22,1,Perro2,A,A,-,A,0.0
13761-83580,137619579400459,terrier,2,24,1,Perro5,D,D,Si,D,1.0
13761-83580,137619579400459,terrier,2,25,1,Perro5,A,A,-,A,0.0
42404-27703,42404690668940,terrier,2,1,1,Perro4,B,Nada,Si,B,1.0
42404-27703,277030367725057,hound,2,1,1,Perro5,C,Nada,No,A,1.0
42404-27703,42404690668940,terrier,2,1,2,Perro3,B,Nada,No,D,1.0
42404-27703,42404690668940,terrier,2,1,3,Perro2,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,1,2,Perro5,A,A,Si,A,1.0
42404-27703,42404690668940,terrier,2,2,1,Perro5,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,2,1,Perro3,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,2,2,Perro2,B,B,No,D,1.0
42404-27703,42404690668940,terrier,2,2,3,Perro1,D,B,No,B,1.0
42404-27703,42404690668940,terrier,2,3,1,Perro5,B,Nada,Si,B,1.0
42404-27703,277030367725057,hound,2,3,1,Perro2,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,3,2,Perro4,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,4,1,Perro2,A,Nada,No,C,1.0
42404-27703,42404690668940,terrier,2,4,1,Perro5,D,D,Si,D,1.0
42404-27703,277030367725057,hound,2,4,2,Perro3,C,Nada,No,A,1.0
42404-27703,42404690668940,terrier,2,4,2,Perro1,D,D,Si,D,1.0
42404-27703,277030367725057,hound,2,4,3,Perro4,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,5,1,Perro5,D,D,No,B,1.0
42404-27703,277030367725057,hound,2,5,1,Perro4,A,Nada,No,C,1.0
42404-27703,277030367725057,hound,2,5,2,Perro2,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,6,1,Perro4,D,D,No,B,1.0
42404-27703,277030367725057,hound,2,6,1,Perro2,A,Nada,Si,A,1.0
42404-27703,42404690668940,terrier,2,6,2,Perro4,B,D,Si,B,1.0
42404-27703,277030367725057,hound,2,6,2,Perro3,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,7,1,Perro4,B,Nada,No,D,1.0
42404-27703,277030367725057,hound,2,7,1,Perro1,A,A,No,C,1.0
42404-27703,42404690668940,terrier,2,7,2,Perro2,B,B,No,D,1.0
42404-27703,42404690668940,terrier,2,8,1,Perro1,B,Nada,Si,B,1.0
42404-27703,277030367725057,hound,2,8,1,Perro4,A,Nada,Si,A,1.0
42404-27703,42404690668940,terrier,2,8,2,Perro3,B,B,Si,B,1.0
42404-27703,277030367725057,hound,2,8,2,Perro5,C,Nada,Si,A,0.0
42404-27703,42404690668940,terrier,2,8,3,Perro2,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,9,1,Perro3,B,B,Si,B,1.0
42404-27703,277030367725057,hound,2,9,1,Perro1,A,A,Si,A,1.0
42404-27703,277030367725057,hound,2,9,2,Perro2,C,A,Si,C,1.0
42404-27703,277030367725057,hound,2,9,3,Perro4,A,A,No,C,1.0
42404-27703,42404690668940,terrier,2,10,1,Perro5,D,Nada,Si,B,0.0
42404-27703,42404690668940,terrier,2,10,2,Perro3,D,D,Si,D,1.0
42404-27703,277030367725057,hound,2,10,1,Perro1,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,10,2,Perro4,C,C,Si,C,1.0
42404-27703,277030367725057,hound,2,10,3,Perro4,C,C,Si,C,1.0
42404-27703,42404690668940,terrier,2,10,3,Perro2,B,D,-,D,0.0
42404-27703,42404690668940,terrier,2,11,1,Perro4,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,11,1,Perro2,C,C,Si,C,1.0
42404-27703,277030367725057,hound,2,11,2,Perro3,A,A,Si,A,1.0
42404-27703,42404690668940,terrier,2,11,2,Perro5,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,11,3,Perro1,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,11,3,Perro3,A,A,Si,A,1.0
42404-27703,42404690668940,terrier,2,12,1,Perro3,B,B,Si,B,1.0
42404-27703,277030367725057,hound,2,12,1,Perro1,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,12,2,Perro2,C,Nada,No,A,1.0
42404-27703,277030367725057,hound,2,12,3,Perro4,C,C,No se,A,0.0
42404-27703,277030367725057,hound,2,13,1,Perro4,A,Nada,No,C,1.0
42404-27703,42404690668940,terrier,2,13,1,Perro1,D,D,Si,D,1.0
42404-27703,277030367725057,hound,2,13,2,Perro3,A,A,No,C,1.0
42404-27703,42404690668940,terrier,2,13,2,Perro5,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,13,3,Perro2,C,C,Si,C,1.0
42404-27703,42404690668940,terrier,2,14,1,Perro2,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,14,1,Perro1,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,14,2,Perro3,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,14,3,Perro4,C,Nada,No,A,1.0
42404-27703,277030367725057,hound,2,14,4,Perro5,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,15,1,Perro1,A,Nada,Si,A,1.0
42404-27703,42404690668940,terrier,2,15,1,Perro3,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,15,2,Perro4,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,15,2,Perro2,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,15,3,Perro5,C,C,Si,C,1.0
42404-27703,42404690668940,terrier,2,15,3,Perro3,D,Nada,-,D,0.0
42404-27703,277030367725057,hound,2,16,1,Perro1,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,16,2,Perro2,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,16,1,Perro4,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,16,3,Perro5,A,Nada,Si,A,1.0
42404-27703,42404690668940,terrier,2,16,2,Perro3,D,D,Si,D,1.0
42404-27703,277030367725057,hound,2,17,1,Perro2,C,Nada,No,A,1.0
42404-27703,277030367725057,hound,2,17,2,Perro3,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,17,1,Perro5,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,17,2,Perro4,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,18,1,Perro4,B,Nada,Si,B,1.0
42404-27703,42404690668940,terrier,2,18,2,Perro3,B,Nada,Si,B,1.0
42404-27703,42404690668940,terrier,2,18,3,Perro5,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,18,1,Perro2,A,Nada,No,C,1.0
42404-27703,277030367725057,hound,2,18,2,Perro1,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,18,3,Perro1,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,19,1,Perro5,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,19,2,Perro3,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,19,3,Perro2,A,Nada,No,C,1.0
42404-27703,277030367725057,hound,2,19,4,Perro1,A,Nada,No,C,1.0
42404-27703,42404690668940,terrier,2,20,1,Perro5,B,Nada,Si,B,1.0
42404-27703,277030367725057,hound,2,20,1,Perro1,A,Nada,No,C,1.0
42404-27703,277030367725057,hound,2,20,2,Perro3,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,20,3,Perro4,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,21,1,Perro3,B,B,Si,B,1.0
42404-27703,277030367725057,hound,2,21,1,Perro4,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,21,2,Perro5,C,Nada,Si,C,1.0
42404-27703,42404690668940,terrier,2,21,2,Perro1,B,Nada,Si,B,1.0
42404-27703,42404690668940,terrier,2,22,1,Perro3,B,Nada,No se,B,0.0
42404-27703,277030367725057,hound,2,22,1,Perro2,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,22,2,Perro5,A,Nada,No,C,1.0
42404-27703,42404690668940,terrier,2,23,1,Perro3,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,23,1,Perro1,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,23,2,Perro2,C,Nada,Si,C,1.0
42404-27703,277030367725057,hound,2,23,3,Perro4,A,Nada,No se,A,0.0
42404-27703,277030367725057,hound,2,23,4,Perro5,C,Nada,No,A,1.0
42404-27703,277030367725057,hound,2,24,1,Perro5,A,Nada,No,C,1.0
42404-27703,42404690668940,terrier,2,24,1,Perro1,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,24,2,Perro4,D,Nada,Si,D,1.0
42404-27703,42404690668940,terrier,2,24,3,Perro3,D,Nada,Si,D,1.0
42404-27703,277030367725057,hound,2,25,1,Perro1,A,Nada,No,C,1.0
42404-27703,277030367725057,hound,2,25,2,Perro2,A,Nada,Si,A,1.0
42404-27703,277030367725057,hound,2,25,3,Perro3,C,Nada,No,A,1.0
42404-27703,277030367725057,hound,2,25,4,Perro5,C,Nada,Si,C,1.0
15349-95103,153498218008918,hound,2,1,1,Perro4,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,1,1,Perro1,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,2,1,Perro5,D,Nada,Si,D,1.0
15349-95103,153498218008918,hound,2,2,1,Perro2,C,Nada,No,A,1.0
15349-95103,153498218008918,hound,2,3,1,Perro1,A,Nada,Si,A,1.0
15349-95103,153498218008918,hound,2,3,2,Perro4,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,3,1,Perro3,D,Nada,Si,D,1.0
15349-95103,153498218008918,hound,2,4,1,Perro1,A,Nada,Si,A,1.0
15349-95103,153498218008918,hound,2,4,2,Perro2,A,Nada,Si,A,1.0
15349-95103,153498218008918,hound,2,4,3,Perro4,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,4,4,Perro5,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,4,1,Perro3,B,Nada,Si,B,1.0
15349-95103,153498218008918,hound,2,5,1,Perro2,A,Nada,Si,C,0.0
15349-95103,153498218008918,hound,2,5,2,Perro1,A,Nada,Si,C,0.0
15349-95103,951034904396380,terrier,2,5,1,Perro4,D,Nada,No,B,1.0
15349-95103,951034904396380,terrier,2,5,2,Perro5,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,5,3,Perro3,D,D,Si,D,1.0
15349-95103,153498218008918,hound,2,6,1,Perro2,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,6,2,Perro3,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,6,3,Perro4,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,6,1,Perro5,D,D,Si,D,1.0
15349-95103,951034904396380,terrier,2,6,2,Perro1,B,B,Si,B,1.0
15349-95103,153498218008918,hound,2,8,1,Perro5,A,Nada,No,C,1.0
15349-95103,951034904396380,terrier,2,8,1,Perro4,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,8,2,Perro3,D,B,No,B,1.0
15349-95103,951034904396380,terrier,2,8,3,Perro2,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,8,4,Perro1,B,Nada,Si,B,1.0
15349-95103,153498218008918,hound,2,9,1,Perro5,C,C,No,A,1.0
15349-95103,951034904396380,terrier,2,9,1,Perro4,B,Nada,Si,B,1.0
15349-95103,153498218008918,hound,2,9,2,Perro1,C,C,Si,C,1.0
15349-95103,951034904396380,terrier,2,9,2,Perro3,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,9,3,Perro2,D,Nada,No,B,1.0
15349-95103,951034904396380,terrier,2,10,1,Perro1,D,Nada,No,B,1.0
15349-95103,153498218008918,hound,2,10,1,Perro2,A,Nada,Si,A,1.0
15349-95103,153498218008918,hound,2,10,2,Perro4,A,Nada,No,A,0.0
15349-95103,951034904396380,terrier,2,10,2,Perro5,B,B,Si,B,1.0
15349-95103,153498218008918,hound,2,11,1,Perro5,C,Nada,Si,C,1.0
15349-95103,951034904396380,terrier,2,11,1,Perro2,D,Nada,No,B,1.0
15349-95103,951034904396380,terrier,2,11,2,Perro3,B,Nada,Si,B,1.0
15349-95103,153498218008918,hound,2,12,1,Perro2,A,A,Si,A,1.0
15349-95103,153498218008918,hound,2,13,1,Perro5,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,13,2,Perro3,A,Nada,Si,A,1.0
15349-95103,153498218008918,hound,2,13,3,Perro2,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,13,4,Perro1,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,13,1,Perro4,D,D,Si,D,1.0
15349-95103,951034904396380,terrier,2,14,1,Perro4,B,Nada,Si,B,1.0
15349-95103,951034904396380,terrier,2,14,2,Perro3,B,Nada,Si,B,1.0
15349-95103,153498218008918,hound,2,14,1,Perro2,C,Nada,No,A,1.0
15349-95103,153498218008918,hound,2,14,2,Perro1,A,Nada,No,C,1.0
15349-95103,153498218008918,hound,2,15,1,Perro3,A,Nada,Si,A,1.0
15349-95103,951034904396380,terrier,2,15,1,Perro5,D,D,Si,D,1.0
15349-95103,153498218008918,hound,2,15,2,Perro2,C,Nada,Si,C,1.0
15349-95103,153498218008918,hound,2,15,3,Perro1,C,Nada,No,A,1.0
15349-95103,951034904396380,terrier,2,16,1,Perro1,D,D,Si,D,1.0
15349-95103,153498218008918,hound,2,16,1,Perro5,A,A,Si,A,1.0
15349-95103,153498218008918,hound,2,16,2,Perro4,A,A,Si,A,1.0
