Dyad,Player,Raza,Stage,Round,Contador,Perro,Rotulo,suposicion,Recibido,Kind,Correctitud
28141-21409,21409433577947,terrier,2,16,3,Perro5,B,B,Si,B,1.0
28141-21409,281417746344637,hound,2,16,3,Perro4,C,C,No,C,0.0
28141-21409,21409433577947,terrier,2,17,1,Perro5,D,D,Si,D,1.0
28141-21409,281417746344637,hound,2,17,1,Perro3,A,C,Si,A,1.0
28141-21409,21409433577947,terrier,2,17,2,Perro1,B,B,Si,B,1.0
28141-21409,21409433577947,terrier,2,18,1,Perro4,D,D,Si,D,1.0
28141-21409,281417746344637,hound,2,18,1,Perro5,A,A,Si,A,1.0
28141-21409,21409433577947,terrier,2,18,2,Perro2,B,B,Si,B,1.0
28141-21409,21409433577947,terrier,2,19,1,Perro4,B,B,Si,B,1.0
28141-21409,281417746344637,hound,2,19,1,Perro5,A,A,Si,A,1.0
28141-21409,21409433577947,terrier,2,20,1,Perro5,B,B,Si,B,1.0
28141-21409,281417746344637,hound,2,20,1,Perro4,A,C,No,A,0.0
28141-21409,281417746344637,hound,2,20,2,Perro2,A,A,Si,A,1.0
28141-21409,21409433577947,terrier,2,21,1,Perro1,D,D,Si,D,1.0
28141-21409,281417746344637,hound,2,21,1,Perro2,A,A,Si,A,1.0
28141-21409,21409433577947,terrier,2,22,1,Perro3,D,D,Si,D,1.0
28141-21409,281417746344637,hound,2,22,1,Perro2,C,C,No,A,1.0
28141-21409,21409433577947,terrier,2,23,1,Perro5,D,D,No,B,1.0
28141-21409,21409433577947,terrier,2,23,2,Perro5,B,B,Si,B,1.0
28141-21409,21409433577947,terrier,2,23,3,Perro4,D,D,Si,D,1.0
28141-21409,21409433577947,terrier,2,24,1,Perro1,B,B,Si,B,1.0
28141-21409,281417746344637,hound,2,24,1,Perro2,C,C,No,A,1.0
28141-21409,281417746344637,hound,2,24,2,Perro2,A,C,Si,A,1.0
28141-21409,281417746344637,hound,2,24,3,Perro5,B,C,-,C,0.0
28141-21409,21409433577947,terrier,2,25,1,Perro5,D,D,Si,D,1.0
28141-21409,281417746344637,hound,2,25,1,Perro3,A,A,No,C,1.0
28141-21409,21409433577947,terrier,2,25,2,Perro4,B,B,Si,B,1.0
28141-21409,21409433577947,terrier,2,25,3,Perro2,B,B,Si,B,1.0
28141-21409,281417746344637,hound,2,25,2,Perro3,C,A,No,C,0.0
94386-40237,402371639059063,terrier,2,1,1,Perro4,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,1,1,Perro3,A,Nada,Si,A,1.0
94386-40237,402371639059063,terrier,2,1,2,Perro2,B,Nada,No,D,1.0
94386-40237,402371639059063,terrier,2,1,3,Perro1,D,Nada,No,B,1.0
94386-40237,943864992920336,hound,2,1,2,Perro5,C,Nada,Si,C,1.0
94386-40237,402371639059063,terrier,2,2,1,Perro4,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,2,2,Perro3,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,2,3,Perro1,D,Nada,No,B,1.0
94386-40237,943864992920336,hound,2,2,1,Perro2,A,Nada,Si,A,1.0
94386-40237,943864992920336,hound,2,2,2,Perro5,C,Nada,No,A,1.0
94386-40237,943864992920336,hound,2,3,1,Perro3,A,A,No,C,1.0
94386-40237,402371639059063,terrier,2,3,1,Perro4,A,A,No se,A,0.0
94386-40237,943864992920336,hound,2,3,2,Perro1,A,Nada,No,C,1.0
94386-40237,943864992920336,hound,2,3,3,Perro5,C,Nada,-,A,0.0
94386-40237,943864992920336,hound,2,4,1,Perro1,A,Nada,Si,A,1.0
94386-40237,402371639059063,terrier,2,4,1,Perro4,B,B,Si,B,1.0
94386-40237,402371639059063,terrier,2,4,2,Perro3,D,D,Si,D,1.0
94386-40237,943864992920336,hound,2,5,1,Perro1,C,C,No,A,1.0
94386-40237,943864992920336,hound,2,5,2,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,5,3,Perro4,A,A,No,C,1.0
94386-40237,943864992920336,hound,2,5,4,Perro5,A,A,Si,A,1.0
94386-40237,402371639059063,terrier,2,5,1,Perro2,D,D,No,B,1.0
94386-40237,943864992920336,hound,2,6,1,Perro3,C,Nada,Si,C,1.0
94386-40237,402371639059063,terrier,2,6,1,Perro1,D,D,No,B,1.0
94386-40237,943864992920336,hound,2,6,2,Perro4,C,Nada,Si,C,1.0
94386-40237,402371639059063,terrier,2,6,2,Perro5,D,D,No,B,1.0
94386-40237,402371639059063,terrier,2,6,3,Perro2,D,B,No,B,1.0
94386-40237,943864992920336,hound,2,7,1,Perro1,C,C,No se,C,0.0
94386-40237,943864992920336,hound,2,7,2,Perro2,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,7,3,Perro3,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,7,4,Perro4,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,7,5,Perro5,C,Nada,Si,C,1.0
94386-40237,402371639059063,terrier,2,7,1,Perro1,A,A,No se,C,0.0
94386-40237,402371639059063,terrier,2,8,1,Perro3,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,8,2,Perro2,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,8,3,Perro1,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,8,4,Perro4,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,8,1,Perro5,A,A,No,C,1.0
94386-40237,943864992920336,hound,2,9,1,Perro1,A,Nada,Si,A,1.0
94386-40237,943864992920336,hound,2,9,2,Perro2,A,Nada,Si,A,1.0
94386-40237,943864992920336,hound,2,9,3,Perro3,A,Nada,No,C,1.0
94386-40237,402371639059063,terrier,2,9,1,Perro4,D,Nada,Si,D,1.0
94386-40237,943864992920336,hound,2,9,4,Perro5,A,Nada,Si,A,1.0
94386-40237,402371639059063,terrier,2,10,1,Perro3,D,Nada,No,B,1.0
94386-40237,402371639059063,terrier,2,10,2,Perro2,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,10,1,Perro1,A,Nada,No,C,1.0
94386-40237,943864992920336,hound,2,10,2,Perro4,C,Nada,Si,C,1.0
94386-40237,943864992920336,hound,2,10,3,Perro5,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,11,1,Perro2,B,Nada,Si,D,0.0
94386-40237,402371639059063,terrier,2,11,2,Perro1,D,Nada,Si,D,1.0
94386-40237,943864992920336,hound,2,11,1,Perro4,A,Nada,Si,A,1.0
94386-40237,943864992920336,hound,2,11,2,Perro5,A,Nada,No,C,1.0
94386-40237,402371639059063,terrier,2,12,1,Perro2,B,Nada,No,D,1.0
94386-40237,402371639059063,terrier,2,12,2,Perro1,D,Nada,Si,D,1.0
94386-40237,943864992920336,hound,2,12,1,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,12,2,Perro4,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,12,3,Perro5,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,13,1,Perro2,C,Nada,Si,C,1.0
94386-40237,402371639059063,terrier,2,13,1,Perro5,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,13,2,Perro3,C,Nada,No,A,1.0
94386-40237,943864992920336,hound,2,13,3,Perro4,A,Nada,No,C,1.0
94386-40237,943864992920336,hound,2,13,4,Perro1,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,14,1,Perro4,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,14,2,Perro5,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,14,3,Perro3,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,14,1,Perro1,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,14,2,Perro2,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,14,3,Perro2,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,15,1,Perro1,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,15,2,Perro2,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,15,3,Perro5,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,15,1,Perro3,C,C,No,A,1.0
94386-40237,402371639059063,terrier,2,16,1,Perro1,B,Nada,Si,D,0.0
94386-40237,402371639059063,terrier,2,16,2,Perro2,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,16,1,Perro3,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,16,2,Perro4,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,16,3,Perro5,C,C,No,A,1.0
94386-40237,402371639059063,terrier,2,17,1,Perro1,D,Nada,No,B,1.0
94386-40237,943864992920336,hound,2,17,1,Perro2,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,17,2,Perro3,A,A,No,C,1.0
94386-40237,943864992920336,hound,2,17,3,Perro4,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,17,4,Perro5,A,A,Si,A,1.0
94386-40237,402371639059063,terrier,2,18,1,Perro5,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,18,1,Perro1,A,A,No,C,1.0
94386-40237,943864992920336,hound,2,18,2,Perro2,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,18,3,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,18,4,Perro4,A,A,Si,A,1.0
94386-40237,402371639059063,terrier,2,19,1,Perro1,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,19,2,Perro4,B,Nada,No,D,1.0
94386-40237,943864992920336,hound,2,19,1,Perro2,A,A,No,C,1.0
94386-40237,943864992920336,hound,2,19,2,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,19,3,Perro5,A,A,No,C,1.0
94386-40237,402371639059063,terrier,2,20,1,Perro2,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,20,2,Perro3,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,20,3,Perro4,C,Nada,Si,C,1.0
94386-40237,943864992920336,hound,2,20,1,Perro4,C,C,No se,C,0.0
94386-40237,943864992920336,hound,2,20,2,Perro5,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,20,3,Perro1,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,21,1,Perro3,B,Nada,Si,B,1.0
94386-40237,402371639059063,terrier,2,21,2,Perro5,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,21,1,Perro1,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,21,2,Perro2,C,C,No,A,1.0
94386-40237,402371639059063,terrier,2,22,1,Perro1,D,Nada,Si,D,1.0
94386-40237,943864992920336,hound,2,22,1,Perro2,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,22,2,Perro3,C,C,No,A,1.0
94386-40237,943864992920336,hound,2,22,3,Perro4,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,22,4,Perro5,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,23,1,Perro1,D,Nada,Si,D,1.0
94386-40237,402371639059063,terrier,2,23,2,Perro2,B,Nada,No,D,1.0
94386-40237,402371639059063,terrier,2,23,3,Perro5,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,23,1,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,23,2,Perro4,A,A,-,A,0.0
94386-40237,402371639059063,terrier,2,24,1,Perro2,D,D,Si,D,1.0
94386-40237,402371639059063,terrier,2,24,2,Perro4,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,24,1,Perro1,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,24,2,Perro3,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,24,3,Perro5,C,C,Si,C,1.0
94386-40237,402371639059063,terrier,2,25,1,Perro1,B,Nada,Si,B,1.0
94386-40237,943864992920336,hound,2,25,1,Perro2,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,25,2,Perro3,C,C,Si,C,1.0
94386-40237,943864992920336,hound,2,25,3,Perro4,A,A,Si,A,1.0
94386-40237,943864992920336,hound,2,25,4,Perro5,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,1,1,Perro3,B,Nada,No,,1.0
23585-52205,522058605648886,hound,2,1,1,Perro2,A,A,Si,,0.0
23585-52205,522058605648886,hound,2,1,2,Perro4,C,C,Si,,0.0
23585-52205,235859731771768,terrier,2,1,2,Perro5,D,Nada,No,,1.0
23585-52205,235859731771768,terrier,2,3,1,Perro3,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,3,2,Perro1,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,3,1,Perro2,C,Nada,-,C,0.0
23585-52205,522058605648886,hound,2,4,1,Perro3,A,Nada,Si,A,1.0
23585-52205,522058605648886,hound,2,4,2,Perro4,C,Nada,No,A,1.0
23585-52205,235859731771768,terrier,2,4,1,Perro1,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,4,3,Perro5,A,Nada,Si,A,1.0
23585-52205,235859731771768,terrier,2,4,2,Perro2,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,4,4,Perro4,C,C,No,A,1.0
23585-52205,522058605648886,hound,2,4,5,Perro3,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,5,1,Perro3,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,5,2,Perro1,B,Nada,Si,B,1.0
23585-52205,235859731771768,terrier,2,5,3,Perro4,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,5,1,Perro2,A,Nada,No,C,1.0
23585-52205,522058605648886,hound,2,5,2,Perro5,A,Nada,Si,A,1.0
23585-52205,235859731771768,terrier,2,6,1,Perro1,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,6,1,Perro2,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,6,2,Perro5,B,Nada,No,D,1.0
23585-52205,522058605648886,hound,2,6,2,Perro3,C,C,Si,C,1.0
23585-52205,522058605648886,hound,2,6,3,Perro2,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,6,3,Perro5,B,B,No,D,1.0
23585-52205,522058605648886,hound,2,7,1,Perro4,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,7,1,Perro5,D,Nada,Si,D,1.0
23585-52205,235859731771768,terrier,2,7,2,Perro3,D,Nada,Si,D,1.0
23585-52205,235859731771768,terrier,2,7,3,Perro2,B,Nada,Si,B,1.0
23585-52205,235859731771768,terrier,2,7,4,Perro1,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,7,2,Perro4,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,8,1,Perro3,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,8,2,Perro5,C,C,Si,A,0.0
23585-52205,522058605648886,hound,2,9,1,Perro5,A,Nada,No,C,1.0
23585-52205,522058605648886,hound,2,9,2,Perro1,A,Nada,Si,A,1.0
23585-52205,235859731771768,terrier,2,9,1,Perro2,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,9,2,Perro4,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,10,1,Perro2,B,Nada,No,D,1.0
23585-52205,235859731771768,terrier,2,10,2,Perro1,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,11,1,Perro4,A,Nada,No,C,1.0
23585-52205,522058605648886,hound,2,11,2,Perro3,A,Nada,Si,A,1.0
23585-52205,522058605648886,hound,2,11,3,Perro5,A,Nada,Si,A,1.0
23585-52205,235859731771768,terrier,2,11,1,Perro2,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,11,2,Perro1,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,12,1,Perro1,A,A,No,C,1.0
23585-52205,522058605648886,hound,2,13,1,Perro3,A,A,No,C,1.0
23585-52205,522058605648886,hound,2,13,2,Perro4,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,13,3,Perro5,A,A,No,C,1.0
23585-52205,235859731771768,terrier,2,14,1,Perro3,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,14,1,Perro4,C,C,No,A,1.0
23585-52205,522058605648886,hound,2,14,2,Perro5,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,15,1,Perro2,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,15,1,Perro3,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,15,2,Perro5,D,Nada,No,B,1.0
23585-52205,235859731771768,terrier,2,16,1,Perro3,D,Nada,Si,D,1.0
23585-52205,235859731771768,terrier,2,16,2,Perro4,D,Nada,Si,D,1.0
23585-52205,235859731771768,terrier,2,16,3,Perro5,D,Nada,Si,D,1.0
23585-52205,522058605648886,hound,2,17,1,Perro3,A,A,No,C,1.0
23585-52205,235859731771768,terrier,2,17,1,Perro2,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,17,2,Perro1,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,17,2,Perro4,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,17,3,Perro1,A,A,-,A,0.0
23585-52205,522058605648886,hound,2,18,1,Perro1,C,C,Si,C,1.0
23585-52205,522058605648886,hound,2,19,1,Perro5,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,19,2,Perro2,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,20,1,Perro3,D,D,Si,D,1.0
23585-52205,522058605648886,hound,2,20,1,Perro4,C,C,No,A,1.0
23585-52205,522058605648886,hound,2,21,1,Perro2,C,C,Si,C,1.0
23585-52205,522058605648886,hound,2,21,2,Perro5,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,21,3,Perro4,C,C,Si,C,1.0
23585-52205,235859731771768,terrier,2,22,1,Perro3,B,Nada,Si,B,1.0
23585-52205,522058605648886,hound,2,22,1,Perro4,C,C,Si,C,1.0
23585-52205,522058605648886,hound,2,23,1,Perro4,A,A,No,A,0.0
23585-52205,522058605648886,hound,2,23,2,Perro5,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,24,1,Perro1,A,A,No,C,1.0
23585-52205,522058605648886,hound,2,24,2,Perro2,A,A,Si,A,1.0
23585-52205,235859731771768,terrier,2,24,1,Perro4,B,Nada,No,D,1.0
23585-52205,522058605648886,hound,2,25,1,Perro2,A,A,Si,A,1.0
23585-52205,522058605648886,hound,2,25,2,Perro1,C,C,Si,C,1.0
23585-52205,235859731771768,terrier,2,25,1,Perro3,B,Nada,No,D,1.0
76079-87480,760791662383499,hound,2,1,1,Perro2,C,Nada,Si,C,1.0
76079-87480,874807326893128,terrier,2,1,1,Perro1,B,B,Si,B,1.0
76079-87480,760791662383499,hound,2,1,2,Perro3,C,Nada,Si,C,1.0
76079-87480,874807326893128,terrier,2,1,2,Perro4,D,D,Si,D,1.0
76079-87480,874807326893128,terrier,2,2,1,Perro3,D,Nada,Si,D,1.0
76079-87480,760791662383499,hound,2,2,1,Perro1,C,C,Si,C,1.0
76079-87480,874807326893128,terrier,2,3,1,Perro1,D,Nada,Si,D,1.0
76079-87480,760791662383499,hound,2,3,1,Perro4,C,C,No,A,1.0
76079-87480,760791662383499,hound,2,3,2,Perro5,B,Nada,No,C,1.0
76079-87480,874807326893128,terrier,2,3,2,Perro2,B,Nada,No,D,1.0
76079-87480,874807326893128,terrier,2,4,1,Perro1,B,Nada,Si,B,1.0
76079-87480,760791662383499,hound,2,4,1,Perro5,C,Nada,No,A,1.0
76079-87480,760791662383499,hound,2,4,2,Perro3,C,Nada,Si,C,1.0
76079-87480,874807326893128,terrier,2,4,2,Perro2,B,Nada,Si,B,1.0
76079-87480,874807326893128,terrier,2,5,1,Perro1,B,Nada,Si,B,1.0
76079-87480,760791662383499,hound,2,5,1,Perro2,B,Nada,No,C,1.0
76079-87480,760791662383499,hound,2,5,2,Perro4,C,Nada,Si,C,1.0
76079-87480,874807326893128,terrier,2,6,1,Perro2,B,Nada,Si,B,1.0
76079-87480,874807326893128,terrier,2,6,2,Perro5,D,Nada,Si,D,1.0
76079-87480,760791662383499,hound,2,6,1,Perro4,B,Nada,No,A,1.0
76079-87480,760791662383499,hound,2,6,2,Perro3,C,Nada,No,A,1.0
76079-87480,874807326893128,terrier,2,7,1,Perro1,B,Nada,Si,,0.0
76079-87480,874807326893128,terrier,2,7,2,Perro4,D,Nada,No,,1.0
76079-87480,874807326893128,terrier,2,7,3,Perro5,D,Nada,Si,,0.0
76079-87480,760791662383499,hound,2,7,1,Perro2,B,B,No,,1.0
76079-87480,874807326893128,terrier,2,7,4,Perro1,B,B,Si,,0.0
76079-87480,874807326893128,terrier,2,7,5,Perro4,D,Nada,-,,0.0
76079-87480,760791662383499,hound,2,7,2,Perro2,C,C,No,,1.0
76079-87480,874807326893128,terrier,2,7,6,Perro4,D,Nada,-,,0.0
76079-87480,874807326893128,terrier,2,7,7,Perro5,D,Nada,-,,0.0
76079-87480,760791662383499,hound,2,7,3,Perro3,C,C,Si,,0.0
76079-87480,874807326893128,terrier,2,8,1,Perro2,D,Nada,Si,D,1.0
76079-87480,874807326893128,terrier,2,8,2,Perro3,B,Nada,Si,B,1.0
76079-87480,874807326893128,terrier,2,8,3,Perro5,B,Nada,-,D,0.0
76079-87480,760791662383499,hound,2,8,1,Perro4,C,C,Si,C,1.0
76079-87480,874807326893128,terrier,2,9,1,Perro1,B,Nada,Si,B,1.0
76079-87480,760791662383499,hound,2,9,1,Perro2,C,C,Si,C,1.0
76079-87480,760791662383499,hound,2,9,2,Perro3,C,C,No,A,1.0
76079-87480,874807326893128,terrier,2,10,1,Perro2,B,Nada,No,D,1.0
76079-87480,874807326893128,terrier,2,10,2,Perro4,D,Nada,No,B,1.0
76079-87480,760791662383499,hound,2,10,1,Perro5,C,Nada,Si,C,1.0
76079-87480,760791662383499,hound,2,10,2,Perro1,C,Nada,No,A,1.0
76079-87480,760791662383499,hound,2,10,3,Perro3,A,Nada,Si,A,1.0
76079-87480,874807326893128,terrier,2,11,1,Perro3,D,Nada,Si,D,1.0
76079-87480,760791662383499,hound,2,11,1,Perro2,C,C,No,A,1.0
76079-87480,760791662383499,hound,2,11,2,Perro4,A,A,Si,A,1.0
76079-87480,760791662383499,hound,2,11,3,Perro5,C,C,Si,C,1.0
76079-87480,874807326893128,terrier,2,12,1,Perro1,B,Nada,No,D,1.0
76079-87480,874807326893128,terrier,2,12,2,Perro5,D,Nada,Si,D,1.0
